"Id_beroep";"Id_verb";"Beroep_letterlijk";"Beroep_vertaling";"Beroep_cat";"Gevangenis"
25777;25811;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25778;25812;"Journalier";"Dagloner";;"Gent"
25779;25813;"Menagere";"Huisvrouw";;"Gent"
25780;25814;"Musicien ambulant";"Rondtrekkend muzikant";;"Gent"
25781;25815;"Commissionnaire";"Bode";;"Gent"
25782;25816;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25783;25817;"Journalier";"Dagloner";;"Gent"
25784;25818;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25785;25819;"Doreur";"Vergulder";;"Gent"
25786;25820;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25787;25821;"Journalier";"Dagloner";;"Gent"
25788;25822;"Commis";"Hulp";;"Gent"
25789;25823;"Journalier";"Dagloner";;"Gent"
25790;25824;"Doreur";"Vergulder";;"Gent"
25791;25825;"Ramoneur";"Schoorsteenveger";;"Gent"
25792;25826;"Ouvrier charpentier";"Werknemer bij de timmerman";;"Gent"
25793;25827;"Terrassier";"Grondwerker";;"Gent"
25794;25828;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25795;25829;"Ouvrier cultivateur";"Landbouwwerker";;"Gent"
25796;25830;"Charretier";"Voerman";;"Gent"
25797;25831;"Journalier";"Dagloner";;"Gent"
25798;25832;"Ouvrier";"Arbeider";;"Gent"
25799;25833;"Ouvrier";"Arbeider";;"Gent"
25800;25834;"Journalier";"Dagloner";;"Gent"
25801;25835;"Haleur de bateaux";"Loods";;"Gent"
25802;25836;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25803;25837;"Ouvrier tailleur";"Werknemer in de kleermakerij";;"Gent"
25804;25838;"Ouvrier macon";"Metser-arbeider";;"Gent"
25805;25839;"Journalier";"Dagloner";;"Gent"
25806;25840;"Journalier";"Dagloner";;"Gent"
25807;25841;"Journalier";"Dagloner";;"Gent"
25808;25842;"Ouvrier";"Arbeider";;"Gent"
25809;25843;"Ouvrier";"Arbeider";;"Gent"
25810;25844;"Servante";"Dienstmeisje";;"Gent"
25811;25845;"Ouvrier";"Arbeider";;"Gent"
25812;25849;"Charretier";"Voerman";;"Gent"
25813;25850;"Batelier";"Binnenschipper";;"Gent"
25814;25851;"Boulanger";"Bakker";;"Gent"
25815;25852;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25816;25853;"Journalier";"Dagloner";;"Gent"
25817;25854;"Ouvrier boucher";"Werknemer in de slagerij";;"Gent"
25818;25855;"Etudiant";"Student";;"Gent"
25819;25856;"Ouvrier";"Arbeider";;"Gent"
25820;25857;"Journaliere";"Dagloner";;"Gent"
25821;25858;"Journalier";"Dagloner";;"Gent"
25822;25859;"Macon";"Metser";;"Gent"
25823;25860;"Tisserand";"Wever";;"Gent"
25824;25861;"Couturier";"Naaier";;"Gent"
25825;25862;"Ecagueur";"Vlaszwingelaar";;"Gent"
25826;25863;"Ajusteur";"Bankwerker";;"Gent"
25827;25864;"Couturiere";"Naaister";;"Gent"
25828;25865;"Domestique";"Bediende";;"Gent"
25829;25866;"Cordonnier";"Schoenmaker";;"Gent"
25830;25867;"Tailleur";"Kleermaker";;"Gent"
25831;25868;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25832;25869;"Journalier";"Dagloner";;"Gent"
25833;25870;"Marchand";"Handelaar";;"Gent"
25834;25871;"Peintre decorateur";"Schilder";;"Gent"
25835;25872;"Agent d'affaires";"Zaakwaarnemer";;"Gent"
25836;25873;"Ecrivain";"Schrijver";;"Gent"
25837;25874;"Ouvrier";"Arbeider";;"Gent"
25838;25875;"Prostituee";"Prostituee";;"Gent"
25839;25876;"Journaliere";"Dagloner";;"Gent"
25840;25877;"Peintre";"Schilder";;"Gent"
25841;25878;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25842;25879;"Ouvrier macon";"Metser-arbeider";;"Gent"
25843;25880;"Journalier";"Dagloner";;"Gent"
25844;25881;"Ouvrier tailleur";"Werknemer in de kleermakerij";;"Gent"
25845;25882;"Ouvrier";"Arbeider";;"Gent"
25846;25883;"Ouvrier charpentier";"Werknemer bij de timmerman";;"Gent"
25847;25884;"Ouvrier cordonnier";"Werknemer in de schoenmakerij";;"Gent"
25848;25885;"Menuisier";"Timmerman";;"Gent"
25849;25886;"Ouvrier";"Arbeider";;"Gent"
25850;25887;"Ouvrier cordonnier";"Werknemer in de schoenmakerij";;"Gent"
25851;25888;"Ecolier";"Scholier";;"Gent"
25852;25889;"Macon";"Metser";;"Gent"
25853;25890;"Briquetier";"Steenbakker";;"Gent"
25854;25891;"Macon";"Metser";;"Gent"
25855;25892;"Tailleur";"Kleermaker";;"Gent"
25856;25893;"Journaliere";"Dagloner";;"Gent"
25857;25894;"Chaisier";"Stoelenmaker";;"Gent"
25858;25895;"Ouvrier peintre";"Arbeider-schilder";;"Gent"
25859;25896;;"Geen";;"Gent"
25860;25897;"Journalier";"Dagloner";;"Gent"
25861;25898;"Journalier";"Dagloner";;"Gent"
25862;25899;"Tisserand";"Wever";;"Gent"
25863;25900;"Journalier";"Dagloner";;"Gent"
25864;25901;"Jardinier";"Tuinman";;"Gent"
25865;25902;"Ouvriere";"Arbeidster";;"Gent"
25866;25903;"Barbier";"Kapper";;"Gent"
25867;25904;"Ouvrier cultivateur";"Landbouwwerker";;"Gent"
25868;25905;"Ouvrier";"Arbeider";;"Gent"
25869;25906;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25870;25907;"Huilier";"Olieslager";;"Gent"
25871;25908;"Prostituee";"Prostituee";;"Gent"
25872;25909;"Couturiere";"Naaister";;"Gent"
25873;25910;"Tisserand";"Wever";;"Gent"
25874;25911;"Ouvrier vannier";"Werknemer in een mandenmakerij";;"Gent"
25875;25912;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25876;25913;"Ouvrier";"Arbeider";;"Gent"
25877;25914;"Journalier";"Dagloner";;"Gent"
25878;25915;"Ouvrier chaudronnier";"Werknemer in de koperslagerij";;"Gent"
25879;25916;"Marchand de sable";"Handelaar in zand";;"Gent"
25880;25917;"Journaliere";"Dagloner";;"Gent"
25881;25918;"Garcon boulanger";"Bakkersknecht";;"Gent"
25882;25919;"Ouvrier";"Arbeider";;"Gent"
25883;25920;"Ouvrier";"Arbeider";;"Gent"
25884;25921;"Prostituee";"Prostituee";;"Gent"
25885;25922;"Journalier";"Dagloner";;"Gent"
25886;25923;"Cabaretiere";"Herbergier";;"Gent"
25887;25924;"Fille publique";"Publieke vrouw";;"Gent"
25888;25925;"Badigeonneur";"Smeerder";;"Gent"
25889;25926;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25890;25927;"Ouvrier plombier";"Arbeider-Loodgieter";;"Gent"
25891;25928;"Agent d'affaires";"Zaakwaarnemer";;"Gent"
25892;25929;"Ouvrier";"Arbeider";;"Gent"
25893;25930;"Tisserand";"Wever";;"Gent"
25894;25931;"Ouvrier";"Arbeider";;"Gent"
25895;25932;"Journalier";"Dagloner";;"Gent"
25896;25933;"Aubergiste";"Herbergier";;"Gent"
25897;25934;"Journalier";"Dagloner";;"Gent"
25898;25935;"Scieur de long";"Schulper";;"Gent"
25899;25936;"Couturiere";"Naaister";;"Gent"
25900;25937;"Tisserand";"Wever";;"Gent"
25901;25938;"Tisserand";"Wever";;"Gent"
25902;25939;"Ramoneur";"Schoorsteenveger";;"Gent"
25903;25940;"Fille publique";"Publieke vrouw";;"Gent"
25904;25941;"Ouvriere";"Arbeidster";;"Gent"
25905;25942;"Garcon boucher";"Slagersknecht";;"Gent"
25906;25943;"Cordonnier";"Schoenmaker";;"Gent"
25907;25944;"Journalier";"Dagloner";;"Gent"
25908;25945;"Tisserand";"Wever";;"Gent"
25909;25946;"Journalier";"Dagloner";;"Gent"
25910;25947;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25911;25948;"Tisserand";"Wever";;"Gent"
25912;25949;"Cultivateur";"Landbouwer";;"Gent"
25913;25950;"Forgeron";"Smid";;"Gent"
25914;25950;"Ajusteur";"Bankwerker";;"Gent"
25915;25951;"Cultivateur";"Landbouwer";;"Gent"
25916;25952;"Fille publique";"Publieke vrouw";;"Gent"
25917;25953;"Cabaretier";"Herbergier";;"Gent"
25918;25954;"Cuisinier";"Kok";;"Gent"
25919;25955;"Journalier";"Dagloner";;"Gent"
25920;25956;"Ouvrier serrurier";"Werknemer in de slotenmakerij";;"Gent"
25921;25957;"Journalier";"Dagloner";;"Gent"
25922;25958;"Journalier";"Dagloner";;"Gent"
25923;25959;"Journalier";"Dagloner";;"Gent"
25924;25960;"Haleur de bateaux";"Loods";;"Gent"
25925;25961;"Ouvrier cultivateur";"Landbouwwerker";;"Gent"
25926;25962;"Journalier";"Dagloner";;"Gent"
25927;25963;"Journalier";"Dagloner";;"Gent"
25928;25964;"Journalier";"Dagloner";;"Gent"
25929;25965;"Fille publique";"Publieke vrouw";;"Gent"
25930;25966;"Journalier";"Dagloner";;"Gent"
25931;25967;"Terrassier";"Grondwerker";;"Gent"
25932;25968;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25933;25969;"Tailleur";"Kleermaker";;"Gent"
25934;25970;"Journalier";"Dagloner";;"Gent"
25935;25971;"Ouvrier doreur";"Arbeider in een vergulderij";;"Gent"
25936;25972;"Palefrenier";"Koetsbediende";;"Gent"
25937;25973;"Ouvrier";"Arbeider";;"Gent"
25938;25974;"Journalier";"Dagloner";;"Gent"
25939;25975;"Ouvrier";"Arbeider";;"Gent"
25940;25976;"Ouvrier en fabrique";"Fabrieksarbeider";;"Gent"
25941;25977;"Ouvrier";"Arbeider";;"Gent"
25942;25978;"Mecanicien";"Mekanieker";;"Gent"
25943;25979;"Voyageur de commerce";"Handelsreiziger";;"Gent"
25944;25980;"Ouvrier";"Arbeider";;"Gent"
25945;25981;"Ouvrier tailleur";"Werknemer in de kleermakerij";;"Gent"
25946;25982;"Journalier";"Dagloner";;"Gent"
25947;25983;"Tisserand";"Wever";;"Gent"
25948;25984;"Prostituee";"Prostituee";;"Gent"
25949;25985;"Ouvrier tapissier";"Werknermer in een stofeerderij";;"Gent"
25950;25986;"Ouvrier";"Arbeider";;"Gent"
25951;25987;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25952;25988;"Macon";"Metser";;"Gent"
25953;25989;"Ouvrier";"Arbeider";;"Gent"
25954;25990;"Ouvrier batelier";"Arbeider-binnenschipper";;"Gent"
25955;25991;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25956;25992;"Ouvrier de fabrique";"Fabrieksarbeider";;"Gent"
25957;25993;"Prostituee";"Prostituee";;"Gent"
25958;25994;"Tisserand";"Wever";;"Gent"
25959;25995;"Terrassier";"Grondwerker";;"Gent"
25960;25996;"Journalier";"Dagloner";;"Gent"
25961;25997;"Ouvrier";"Arbeider";;"Gent"
25962;25998;"Journalier";"Dagloner";;"Gent"
25963;25999;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25964;26000;"Journalier";"Dagloner";;"Gent"
25965;26001;"Prostituee";"Prostituee";;"Gent"
25966;26002;"Prostituee";"Prostituee";;"Gent"
25967;26003;"Prostituee";"Prostituee";;"Gent"
25968;26004;"Ouvrier jardinier";"Tuinman";;"Gent"
25969;26005;"Ouvrier de ferme";"Landbouwwerker";;"Gent"
25970;26006;"Charretier";"Voerman";;"Gent"
25971;26007;"Menagere";"Huisvrouw";;"Gent"
25972;26008;"Journalier";"Dagloner";;"Gent"
25973;26009;"Chanteur ambulant";"Rondreizende zanger";;"Gent"
25974;26010;"Marchand de parapluies";"Handelaar in paraplus";;"Gent"
25975;26011;"Soldaat";"Soldaat";;"Gent"
